T,Total Demand,EES_PV,EES_Wind
t1,2529.9999999999995,0.0,63.45609941074765
t2,2310.0,0.0,129.95609941074764
t3,2200.0,0.0,196.45609941074764
t4,2200.0,0.0,262.95609941074764
t5,2090.0,35.705248101739116,329.45609941074764
t6,2090.0,71.41049620347808,395.95609941074764
t7,2310.0,47.52087970027394,435.19703996882254
t8,2529.9999999999995,16.306236866598958,389.8590263413816
t9,2750.0,0.0,358.429114259841
t10,2860.0,40.73621622232714,284.74490373352523
t11,2970.0000000000005,107.23621622232713,227.92895229219303
t12,3080.0000000000005,172.89636877667397,178.10727023638316
t13,3080.0000000000005,239.39636877667397,104.98703075795882
t14,2970.0000000000005,305.89636877667397,104.2952075882603
t15,2860.0,372.39636877667397,116.38412910608017
t16,2860.0,438.89636877667397,134.66374313200023
t17,2750.0,490.0,163.9654242300016
t18,2750.0,442.1052631578947,90.28121370368581
t19,2970.0000000000005,368.4210526315789,90.28121370368581
t20,3190.000000000001,294.7368421052631,16.597003177370027
t21,3190.000000000001,221.05263157894734,0.0
t22,2970.0000000000005,147.36842105263156,0.0
t23,2750.0,73.68421052631578,8.05329653989718
t24,2640.0,0.0,0.0
